maker_code,product_code,product_name,packing_unit,standard_wholesale_price,guideline_price
10050,WGS,ＷｉＳＭ予備洗浄スプレー,本,500,420
10050,WFHS-500,ＷｉＳＭ泡ハンドソープ　５００ｍＬ,本,250,235
11408,OW-Z731AW,ＷｉＳＭサークルＰＲＯ空気清浄機ＨＥＰＡ,台,140000,120000
11408,HAS343-01X,サークルフィルターＰＲＯ,個,1020,9600
11605,ST205,ＷｉＳＭ　シトカップ１００個入,箱,470,435
11605,038741,ＷｉＳＭガーゼ寝巻　紳士用　Ｌ,枚,955,800
11605,038742,ＷｉＳＭガーゼ寝巻　紳士用　ＬＯ,枚,955,800
11605,038740,ＷｉＳＭガーゼ寝巻　紳士用　Ｍ,枚,955,800
11605,038739,ＷｉＳＭガーゼ寝巻　紳士用　Ｓ,枚,955,800
11605,038745,ＷｉＳＭガーゼ寝巻　婦人用　Ｌ,枚,955,800
11605,038746,ＷｉＳＭガーゼ寝巻　婦人用　ＬＯ,枚,955,800
11605,038744,ＷｉＳＭガーゼ寝巻　婦人用　Ｍ,枚,955,800
11605,038743,ＷｉＳＭガーゼ寝巻　婦人用　Ｓ,枚,955,800
11605,SM-205-F,ＷｉＳＭシトカップ蓋ムジエアーアナアキ,箱,13000,13000
11605,WST-60,ＷｉＳＭ滅菌タオル,箱,1120,920
11605,WSHM-24,ＷｉＳＭ酒精綿,箱,385,360
11605,WNG20,ＷｉＳＭ不織布ガーゼ　２０×２０ｃｍ,箱,510,490
11605,WNG25,ＷｉＳＭ不織布ガーゼ　２５×２５ｃｍ,箱,560,540
11605,WNG30,ＷｉＳＭ不織布ガーゼ　３０×３０ｃｍ,箱,560,540
11995,WKK-P21,ＷｉＳＭアドソンピンセット120無鈎,本,1900,1900
11995,WKK-P22,ＷｉＳＭアドソンピンセット120有鉤,本,1900,1900
11995,WKK-K81,ＷｉＳＭアリス鉗子直　１５０,本,1900,1900
11995,WKK-K82,ＷｉＳＭアリス鉗子直　１８０,本,1920,1920
11995,WKK-R01,ＷｉＳＭウェイトラナー開創器１１鋭２×３,本,8000,8000
11995,WKK-R02,ＷｉＳＭウエイトラナー開創器１１鈍２×３,本,8000,8000
11995,WKK-R03,ＷｉＳＭウエイトラナー開創器１３鋭３×４,本,8000,8000
11995,WKK-R04,ＷｉＳＭウエイトラナー開創器１３鈍３×４,本,8000,8000
11995,WKK-R05,ＷｉＳＭウエイトラナー開創器１６鋭３×４,本,8000,8000
11995,WKK-R06,ＷｉＳＭウエイトラナー開創器１６鈍３×４,本,8000,8000
11995,WKK-C63,ＷｉＳＭエレバトリウム強弯,本,3200,3200
11995,WKK-C62,ＷｉＳＭエレバトリウム弱弯,本,3200,3200
11995,WKK-C61,ＷｉＳＭエレバトリウム直,本,3200,3200
11995,WKK-C71,ＷｉＳＭギブス剪刀２００,本,2100,2100
11995,WKK-C72,ＷｉＳＭギブス剪刀２３０,本,2100,2100
11995,WKK-U51,ＷｉＳＭキルナー剪刀反　１３０,本,1540,1540
11995,WKK-L11,ＷｉＳＭケリー剥離鉗子３００　弱弯,本,9600,9600
11995,WKK-C51,ＷｉＳＭケリソンパンチ１ｍｍ×２００,本,36000,36000
11995,WKK-C52,ＷｉＳＭケリソンパンチ２ｍｍ×１８０,本,36000,36000
11995,WKK-C53,ＷｉＳＭケリソンパンチ２ｍｍ×２００,本,36000,36000
11995,WKK-C54,ＷｉＳＭケリソンパンチ３ｍｍ×２００,本,36000,36000
11995,WKK-C55,ＷｉＳＭケリソンパンチ４ｍｍ×１８０,本,36000,36000
11995,WKK-C56,ＷｉＳＭケリソンパンチ４ｍｍ×２００,本,36000,36000
11995,WKK-K23,ＷｉＳＭコッヘル止血鉗子有鈎　直　１６０,本,1750,1750
11995,WKK-K33,ＷｉＳＭコッヘル止血鉗子有鈎　反　１６０,本,1750,1750
11995,WKK-S52S,ＷｉＳＭスーパーメッツェン鋸刃反　１８０,本,7400,7400
11995,WKK-T21,ＷｉＳＭスティーブン　両尖反１１５チップ,本,5760,5760
11995,WKK-T22,ＷｉＳＭスティーブン　両尖反１１５鋸刃,本,6400,6400
11995,WKK-L72,ＷｉＳＭタオル鉗子　ローナ,本,1750,1750
11995,WKK-L73,ＷｉＳＭタオル鉗子　東北大式,本,1750,1750
11995,WKK-L71,ＷｉＳＭタオル鉗子バックハウス,本,1750,1750
11995,WKK-P45,ＷｉＳＭチップ付ピンセット１８０,本,16800,16800
